Type,Nome,Name,Level,Skill,Life,Mp,Range,PhyAtk,MagAtk,PhyDef,MagDef,Dex,Agi,Crit atk,Crit def,Stun atk chance,Stun def chance,Stun duration,Block atk chance,Block def chance,Block duration,Blood atk chance,Blood def chance,Blood atk,Blood def,Blood duration,Poison atk chance,Poison def chance,Poison atk,Poison def,Poison duration,Silence atk chance,Silence def chance,Silence duration,Elem,Exp,Item 0,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Gold,Step,Move delay,Mp delay,Atk delay
40,Criatura 41,Creature 41,5,1,344,333,60,21,19,17,18,34,16,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,63,140,246,1109,1110,1359,1700,1810,-1,-1,-1,30,1,0.0125,0.625,0.97
41,Criatura 42,Creature 42,6,1,342,353,60,22,26,22,22,32,19,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,82,4,246,1111,1360,1361,1705,1811,-1,-1,-1,41,1,0.0125,0.625,0.84
42,Criatura 43,Creature 43,7,1,307,365,60,25,24,26,28,30,23,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,97,5,141,312,313,1362,1729,1812,-1,-1,-1,54,1,0.0125,0.625,0.99
43,Criatura 44,Creature 44,8,1,389,423,60,29,22,28,27,36,26,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,118,6,314,1363,1364,1730,1813,1814,-1,-1,-1,69,1,0.0125,0.625,0.95
44,Criatura 45,Creature 45,9,1,372,420,60,27,29,31,28,42,24,0.14,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,140,6,7,715,716,717,1365,1731,1732,1733,1734,86,1,0.0125,0.625,0.99
45,Criatura 46,Creature 46,5,1,284,300,60,19,22,23,21,32,16,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,63,140,222,309,310,1331,1700,1810,-1,-1,-1,30,1,0.0125,0.625,0.95
46,Criatura 47,Creature 47,6,1,328,325,60,24,22,24,22,36,17,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,82,4,222,311,1332,1333,1705,1811,-1,-1,-1,41,1,0.0125,0.625,0.88
47,Criatura 48,Creature 48,7,1,358,360,60,23,22,28,26,34,20,0.13,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,97,5,141,512,513,1334,1729,1812,-1,-1,-1,54,1,0.0125,0.625,0.90
48,Criatura 49,Creature 49,8,1,378,374,60,28,25,31,29,37,24,0.12,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,118,6,514,1335,1336,1730,1813,1814,-1,-1,-1,69,1,0.0125,0.625,0.91
49,Criatura 50,Creature 50,9,1,492,432,60,27,30,29,28,37,25,0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neutral,140,6,7,915,916,917,1337,1731,1732,1733,1734,86,1,0.0125,0.625,0.92
50,Criatura 51,Creature 51,10,1,483,431,60,39,37,28,34,36,24,0.14,0.02,0.1,0.08,59,0.15,0.13,65,0.14,0.08,5.73,0.05,133,0.07,0.17,6.46,7.24,66,0.15,0.06,62,plant,177,8,235,718,719,1380,1381,1700,1885,-1,-1,105,1,0.0125,0.625,0.86
51,Criatura 52,Creature 52,11,1,489,520,60,38,37,35,37,41,31,0.14,0.02,0.18,0.05,74,0.2,0.08,95,0.15,0.1,9.58,5.81,145,0.17,0.13,8.99,0.83,96,0.06,0.2,128,water,193,9,720,521,1382,1383,1710,1886,1887,-1,-1,126,1,0.0125,0.625,0.79
52,Criatura 53,Creature 53,12,1,520,524,60,37,39,38,36,43,28,0.13,0.02,0.11,0.18,52,0.06,0.19,72,0.08,0.07,0.22,6.15,68,0.11,0.18,3.33,0.84,148,0.17,0.2,95,light,209,10,122,522,523,1384,1735,1888,1889,-1,-1,149,1,0.0125,0.625,0.98
53,Criatura 54,Creature 54,13,1,597,518,60,36,41,44,39,55,35,0.13,0.01,0.14,0.19,104,0.1,0.12,81,0.08,0.08,12.52,5.89,86,0.07,0.06,2.27,0.86,128,0.18,0.12,54,air,245,11,123,924,925,926,1736,1737,1963,-1,-1,174,1,0.0125,0.625,0.85
54,Criatura 55,Creature 55,14,1,607,515,60,38,42,39,46,49,30,0.14,0.02,0.11,0.06,148,0.08,0.1,91,0.11,0.12,11.5,7.74,50,0.07,0.06,12.39,1.94,89,0.06,0.17,108,dark,263,1127,1128,1129,1385,1386,1738,1739,1740,1741,1742,201,1,0.0125,0.625,0.98
55,Criatura 56,Creature 56,10,1,489,425,60,35,37,28,40,41,21,0.13,0.02,0.16,0.16,103,0.14,0.14,142,0.15,0.17,2.19,5.11,100,0.08,0.18,3.03,8.77,107,0.08,0.15,90,air,177,8,223,318,319,1366,1367,1700,1855,-1,-1,105,1,0.0125,0.625,0.81
56,Criatura 57,Creature 57,11,1,448,453,60,34,38,43,35,42,26,0.13,0.02,0.07,0.12,132,0.11,0.08,77,0.05,0.11,8.94,5.83,100,0.15,0.14,8.64,2.11,136,0.18,0.05,58,water,193,9,320,1121,1368,1369,1706,1856,1857,-1,-1,126,1,0.0125,0.625,0.84
57,Criatura 58,Creature 58,12,1,549,553,60,34,39,40,35,45,32,0.13,0.01,0.09,0.08,79,0.11,0.14,75,0.19,0.18,0.55,11.13,142,0.06,0.17,0.65,4.85,134,0.11,0.19,78,thunder,209,10,122,1122,1123,1370,1735,1858,1859,-1,-1,149,1,0.0125,0.625,0.88
58,Criatura 59,Creature 59,13,1,490,555,60,49,36,37,36,43,33,0.13,0.02,0.11,0.18,92,0.07,0.16,136,0.13,0.06,7.37,9.92,138,0.08,0.1,1.56,1.19,114,0.08,0.19,106,water,245,11,123,524,525,526,1736,1737,1952,-1,-1,174,1,0.0125,0.625,0.97
59,Criatura 60,Creature 60,14,1,566,554,60,38,43,41,47,50,41,0.13,0.02,0.2,0.15,61,0.17,0.19,81,0.05,0.2,13.38,10.1,90,0.08,0.08,9.72,13.12,86,0.07,0.19,68,dark,263,727,728,729,1371,1372,1738,1739,1740,1741,1742,201,1,0.0125,0.625,0.86
60,Criatura 61,Creature 61,10,1,483,525,60,33,31,29,34,33,23,0.13,0.02,0.07,0.07,95,0.15,0.16,140,0.15,0.09,8.46,3.31,134,0.09,0.07,3.84,0.93,87,0.12,0.18,60,snow,177,8,241,918,919,1387,1388,1700,1964,-1,-1,105,1,0.0125,0.625,0.92
61,Criatura 62,Creature 62,11,1,495,493,60,32,38,37,33,38,33,0.13,0.02,0.11,0.14,142,0.19,0.06,111,0.06,0.09,9.36,10.01,74,0.08,0.14,10.98,1.68,66,0.14,0.13,107,light,193,9,920,721,1389,1390,1715,1965,-1,-1,-1,126,1,0.0125,0.625,0.91
62,Criatura 63,Creature 63,12,1,636,588,60,32,32,30,38,43,29,0.13,0.02,0.11,0.17,134,0.11,0.19,72,0.18,0.09,4.75,6.09,82,0.19,0.12,3.83,1.22,112,0.06,0.19,108,dark,209,10,122,722,723,1391,1735,1966,-1,-1,-1,149,1,0.0125,0.625,0.94
63,Criatura 64,Creature 64,13,1,528,450,60,42,45,43,41,44,29,0.14,0.02,0.17,0.1,55,0.11,0.13,50,0.11,0.2,10.57,10.83,73,0.15,0.15,7.84,11.57,102,0.2,0.09,133,plant,245,11,123,1124,1125,1126,1736,1737,1967,-1,-1,174,1,0.0125,0.625,0.83
64,Criatura 65,Creature 65,14,1,493,562,60,46,47,37,39,51,37,0.14,0.02,0.2,0.16,57,0.08,0.12,125,0.12,0.06,7.12,1.7,61,0.05,0.1,12.93,11.69,91,0.1,0.15,77,water,263,327,328,329,1392,1393,1738,1739,1740,1741,1742,201,1,0.0125,0.625,0.80
65,Criatura 66,Creature 66,10,1,412,475,60,37,33,29,32,37,28,0.14,0.02,0.17,0.2,101,0.09,0.08,66,0.19,0.17,2.79,6.11,99,0.09,0.06,3.2,5,111,0.07,0.18,146,thunder,177,8,247,1118,1119,1394,1395,1700,1978,-1,-1,105,1,0.0125,0.625,1.00
66,Criatura 67,Creature 67,11,1,495,527,60,31,32,35,36,40,27,0.15,0.02,0.17,0.11,114,0.17,0.13,94,0.06,0.13,8.72,10.64,132,0.09,0.11,7.97,9.7,113,0.09,0.06,51,air,193,9,1120,921,1396,1397,1710,1979,-1,-1,-1,126,1,0.0125,0.625,0.98
67,Criatura 68,Creature 68,12,1,426,609,60,37,34,43,46,34,30,0.13,0.02,0.09,0.17,54,0.1,0.08,102,0.13,0.17,7.78,11.12,111,0.09,0.09,5.93,2.51,75,0.11,0.09,61,thunder,209,10,122,922,923,1398,1735,1980,-1,-1,-1,149,1,0.0125,0.625,0.88
68,Criatura 69,Creature 69,13,1,528,615,60,37,39,39,35,44,31,0.14,0.03,0.15,0.08,107,0.15,0.18,78,0.09,0.16,8.29,2.19,76,0.16,0.11,4.22,5.11,145,0.08,0.12,109,water,245,11,123,324,325,326,1736,1737,-1,-1,-1,174,1,0.0125,0.625,0.98
69,Criatura 70,Creature 70,14,1,639,523,60,48,39,43,41,34,36,0.14,0.02,0.17,0.11,107,0.13,0.18,117,0.14,0.11,0.96,7.99,111,0.12,0.18,6.34,12.38,81,0.1,0.14,71,thunder,263,527,528,529,1399,1400,1738,1739,1740,1741,1742,201,1,0.0125,0.625,0.95
70,Criatura 71,Creature 71,10,1,470,438,60,34,35,36,33,37,23,0.13,0.02,0.07,0.15,57,0.09,0.15,149,0.06,0.08,9.28,3.85,120,0.06,0.14,5.75,3.57,104,0.13,0.06,56,dark,177,8,229,518,519,1373,1374,1700,1875,-1,-1,105,1,0.0125,0.625,0.96
71,Criatura 72,Creature 72,11,1,393,480,60,36,37,35,36,38,31,0.14,0.02,0.11,0.06,83,0.17,0.15,88,0.11,0.19,9.81,1.38,114,0.09,0.09,10.65,9.81,55,0.19,0.06,54,neutral,193,9,520,321,1375,1376,1707,1876,1877,-1,-1,126,1,0.0125,0.625,0.85
72,Criatura 73,Creature 73,12,1,462,531,60,34,41,38,41,42,31,0.13,0.02,0.19,0.16,68,0.17,0.14,129,0.17,0.05,0.15,2.02,129,0.11,0.12,4.35,10.09,83,0.12,0.13,75,light,209,10,122,322,323,1377,1735,1878,1879,-1,-1,149,1,0.0125,0.625,0.93
73,Criatura 74,Creature 74,13,1,505,518,60,39,39,39,41,46,33,0.14,0.02,0.09,0.06,70,0.11,0.09,104,0.07,0.16,12.12,10.69,116,0.19,0.11,9.59,5.31,145,0.19,0.1,50,thunder,245,11,123,724,725,726,1736,1737,1960,-1,-1,174,1,0.0125,0.625,0.87
74,Criatura 75,Creature 75,14,1,477,507,60,37,50,41,47,42,36,0.14,0.02,0.11,0.11,74,0.19,0.14,96,0.17,0.2,4.46,0.01,67,0.09,0.2,3.7,9.26,139,0.14,0.13,75,plant,263,927,928,929,1378,1379,1738,1739,1740,1741,1742,201,1,0.0125,0.625,0.92
75,Criatura 76,Creature 76,15,1,588,608,60,44,41,48,44,45,36,0.14,0.02,0.13,0.1,121,0.1,0.06,87,0.15,0.05,6.58,5.95,133,0.12,0.06,7.35,10.86,141,0.14,0.18,105,water,296,12,242,930,931,1419,1700,1890,1894,-1,-1,230,1,0.0125,0.625,0.94
76,Criatura 77,Creature 77,16,1,707,569,60,49,46,42,51,47,33,0.13,0.02,0.1,0.19,141,0.11,0.13,111,0.06,0.1,10.56,5.77,94,0.14,0.19,5.46,5.83,111,0.18,0.14,72,dark,310,13,142,160,733,932,1420,1716,1743,1891,-1,261,1,0.0125,0.625,0.93
77,Criatura 78,Creature 78,17,1,760,578,60,50,41,53,54,46,45,0.13,0.02,0.17,0.18,141,0.1,0.09,52,0.16,0.19,7.4,2.43,99,0.06,0.08,0.16,15.12,58,0.17,0.1,134,earth,342,14,143,161,734,1421,1744,1892,1893,-1,-1,294,1,0.0125,0.625,0.99
78,Criatura 79,Creature 79,18,1,756,700,60,57,46,51,50,45,44,0.14,0.02,0.11,0.18,107,0.08,0.06,112,0.06,0.16,14.18,1.94,112,0.12,0.09,12.8,2.64,133,0.18,0.12,97,neutral,392,15,162,163,242,735,1745,1746,1968,-1,-1,329,1,0.0125,0.625,0.88
79,Criatura 80,Creature 80,19,1,779,840,60,47,51,54,59,49,34,0.14,0.02,0.11,0.09,74,0.16,0.07,51,0.07,0.18,17.86,2.43,95,0.18,0.15,15.56,18.5,143,0.1,0.15,108,plant,396,164,165,536,537,538,1422,1423,1424,1747,1748,366,1,0.0125,0.625,0.87
80,Criatura 81,Creature 81,15,1,588,575,60,38,48,43,44,45,39,0.14,0.03,0.14,0.1,134,0.16,0.13,137,0.08,0.19,3.93,13.47,83,0.09,0.12,2.67,6.47,120,0.2,0.12,122,dark,296,12,224,330,331,1401,1700,1860,1861,1862,-1,230,1,0.0125,0.625,0.88
81,Criatura 82,Creature 82,16,1,618,683,60,51,49,44,46,48,41,0.13,0.02,0.07,0.15,116,0.19,0.06,66,0.19,0.1,5.98,10.31,140,0.19,0.12,3.31,10.41,74,0.1,0.07,82,air,310,13,142,160,1133,332,1402,1708,1743,1863,-1,261,1,0.0125,0.625,0.85
82,Criatura 83,Creature 83,17,1,657,642,60,47,49,49,48,44,47,0.13,0.02,0.17,0.15,150,0.18,0.08,126,0.15,0.12,14.52,6.89,75,0.09,0.11,12.79,6.49,93,0.11,0.05,69,snow,342,14,143,161,1134,1403,1744,1864,1953,1954,-1,294,1,0.0125,0.625,0.94
83,Criatura 84,Creature 84,18,1,707,709,60,47,60,55,55,56,40,0.13,0.02,0.16,0.1,116,0.18,0.08,92,0.18,0.08,5.37,15.9,56,0.08,0.18,9.51,2.69,140,0.12,0.17,150,thunder,392,15,162,163,224,1135,1745,1746,1955,-1,-1,329,1,0.0125,0.625,0.91
84,Criatura 85,Creature 85,19,1,708,740,60,51,62,52,59,48,45,0.12,0.02,0.11,0.08,89,0.18,0.15,132,0.07,0.16,5.48,16.29,90,0.11,0.17,3.77,10.04,127,0.07,0.07,103,earth,396,164,165,936,937,938,1404,1405,1406,1747,1748,366,1,0.0125,0.625,0.96
85,Criatura 86,Creature 86,15,1,597,675,60,43,52,36,47,48,27,0.13,0.02,0.09,0.13,84,0.18,0.12,78,0.13,0.2,9.28,12.24,97,0.15,0.12,13.06,13.94,99,0.14,0.08,64,earth,296,12,230,530,531,1407,1700,1870,1871,1872,-1,230,1,0.0125,0.625,0.89
86,Criatura 87,Creature 87,16,1,716,613,60,44,45,42,49,51,37,0.13,0.02,0.08,0.07,75,0.09,0.19,92,0.12,0.15,0.65,3.42,53,0.09,0.15,10.69,12.16,89,0.17,0.07,85,earth,310,13,142,160,333,532,1408,1711,1743,1873,-1,261,1,0.0125,0.625,0.92
87,Criatura 88,Creature 88,17,1,620,724,60,47,42,51,52,50,39,0.14,0.02,0.13,0.14,103,0.12,0.14,141,0.12,0.1,0.23,5.66,89,0.2,0.18,11.71,8.72,67,0.07,0.14,51,neutral,342,14,143,161,334,1409,1744,1874,1957,1958,-1,294,1,0.0125,0.625,0.91
88,Criatura 89,Creature 89,18,1,746,728,60,43,62,50,60,51,35,0.13,0.02,0.17,0.16,74,0.13,0.19,87,0.15,0.14,12.24,17.16,98,0.05,0.16,4.25,13.43,58,0.08,0.15,64,air,392,15,162,163,230,335,1745,1746,1959,-1,-1,329,1,0.0125,0.625,0.91
89,Criatura 90,Creature 90,19,1,800,830,60,54,57,47,53,51,44,0.14,0.02,0.12,0.13,130,0.06,0.12,146,0.1,0.13,3.22,12.72,103,0.09,0.19,10.48,15.25,61,0.06,0.17,72,thunder,396,164,165,1136,1137,1138,1410,1411,1412,1747,1748,366,1,0.0125,0.625,0.91
90,Criatura 91,Creature 91,15,1,554,650,60,43,46,37,44,37,46,0.14,0.02,0.16,0.15,73,0.18,0.17,85,0.12,0.07,13.35,13.49,141,0.07,0.16,13.5,1.99,93,0.05,0.07,73,dark,296,12,248,1130,1131,1425,1700,1975,1976,-1,-1,230,1,0.0125,0.625,0.88
91,Criatura 92,Creature 92,16,1,663,674,60,44,47,44,50,48,44,0.13,0.02,0.17,0.11,132,0.09,0.14,130,0.08,0.07,4.68,10.97,72,0.09,0.17,2.55,4.16,106,0.11,0.07,100,light,310,13,142,160,933,1132,1426,1722,1743,-1,-1,261,1,0.0125,0.625,0.94
