ID,Name,Nome,Price,Drop chance,Description,Descrição,Type
157,special def rune 9,runa especial de defesa nv 9,19560,10,-,-,Rune
158,special atk rune 10,runa especial de ataque nv 10,21197,10,-,-,Rune
159,special def rune 10,runa especial de defesa nv 10,21197,10,-,-,Rune
160,pet hp pot 1,poção de hp do pet 1,20,20,-,-,Pet
161,pet mp pot 1,poção de mp do pet 1,20,20,-,-,Pet
162,pet ration,ração de pet,104,20,-,-,Pet
163,pet's wood set,set da madeira do pet,167,20,-,-,Pet
164,pet hp pot 2,poção de hp do pet 2,242,20,-,-,Pet
165,pet mp pot 2,poção de mp do pet 2,242,20,-,-,Pet
166,banana smoothie,refresco de banana,426,20,-,-,Pet
167,pet's metal set,set de metal do pet,534,20,-,-,Pet
168,pet hp pot 3,poção de hp do pet 3,651,20,-,-,Pet
169,pet mp pot 3,poção de mp do pet 3,651,20,-,-,Pet
170,apple smoothie,refresco de maçã,914,20,-,-,Pet
171,pet's steel set,set de aço do pet,1059,20,-,-,Pet
172,pet hp pot 4,poção de hp do pet 4,1212,20,-,-,Pet
173,pet mp pot 4,poção de mp do pet 4,1212,20,-,-,Pet
174,blackb smoothie,refresco de amora,1545,20,-,-,Pet
175,pet's rocky set,set rochoso do pet,1723,20,-,-,Pet
176,pet hp pot 5,poção de hp do pet 5,1910,20,-,-,Pet
177,pet mp pot 5,poção de mp do pet 5,1910,20,-,-,Pet
178,strawberry smoothie,refresco de morango,2307,20,-,-,Pet
179,pet's fossilized set,set fossilizado do pet,2516,20,-,-,Pet
180,pet hp pot 6,poção de hp do pet 6,2734,20,-,-,Pet
181,pet mp pot 6,poção de mp do pet 6,2734,20,-,-,Pet
182,mini coconut,mini côco,3190,20,-,-,Pet
183,pet's ruins set,set das ruínas do pet,3429,20,-,-,Pet
184,pet hp pot 7,poção de hp do pet 7,3675,20,-,-,Pet
185,pet mp pot 7,poção de mp do pet 7,3675,20,-,-,Pet
186,fresh water,água fresca,4188,20,-,-,Pet
187,pet's tropical set,set tropical do pet,4455,20,-,-,Pet
188,pet hp pot 8,poção de hp do pet 8,4729,20,-,-,Pet
189,pet mp pot 8,poção de mp do pet 8,4729,20,-,-,Pet
190,pet energy drink,energético do pet,5296,20,-,-,Pet
191,pet's coconut set,set de côco do pet,5589,20,-,-,Pet
192,pet hp pot 9,poção de hp do pet 9,5889,20,-,-,Pet
193,pet mp pot 9,poção de mp do pet 9,5889,20,-,-,Pet
194,eagle eye,olho de águia,6508,20,-,-,Pet
195,pet's ocean set,set do oceano do pet,6827,20,-,-,Pet
196,pet hp pot 10,poção de hp do pet 10,7153,20,-,-,Pet
197,pet mp pot 10,poção de mp do pet 10,7153,20,-,-,Pet
198,plancton,plâncton,7822,20,-,-,Pet
199,pet's magma set,set da lava do pet,8166,20,-,-,Pet
200,pet hp pot 11,poção de hp do pet 11,8516,20,-,-,Pet
201,pet mp pot 11,poção de mp do pet 11,8516,20,-,-,Pet
202,ashes,cinzas,9233,20,-,-,Pet
203,pet's chocolate set,set de chocolate do pet,9601,20,-,-,Pet
204,pet hp pot 12,poção de hp do pet 12,9975,20,-,-,Pet
205,pet mp pot 12,poção de mp do pet 12,9975,20,-,-,Pet
206,boiling water,água fervente,10740,20,-,-,Pet
207,pet's fenix set,set da fênix do pet,11131,20,-,-,Pet
208,pet hp pot 13,poção de hp do pet 13,11528,20,-,-,Pet
209,pet mp pot 13,poção de mp do pet 13,11528,20,-,-,Pet
210,snacks,lanchinho,12339,20,-,-,Pet
211,pet's dragon set,set do dragão do pet,12753,20,-,-,Pet
212,pet hp pot 14,poção de hp do pet 14,13172,20,-,-,Pet
213,pet mp pot 14,poção de mp do pet 14,13172,20,-,-,Pet
214,serpent tail,cauda de serpente,14028,20,-,-,Pet
215,pet's cold set,set gelado do pet,14465,20,-,-,Pet
216,pet hp pot 15,poção de hp do pet 15,14906,20,-,-,Pet
217,pet mp pot 15,poção de mp do pet 15,14906,20,-,-,Pet
218,ice flock,floco de gelo,15806,20,-,-,Pet
219,pet's snowman set,set do boneco de neve do pet,16264,20,-,-,Pet
220,berry,frutinha,5,50,-,-,Food
221,apple,maçã,10,50,-,-,Food
222,banana,banana,15,50,-,-,Food
223,strawberry,morango,20,50,-,-,Food
224,chilli peper,pimenta,25,50,-,-,Food
225,blackberry,amora,30,50,-,-,Food
226,small fish,peixe pequeno,5,50,-,-,Food
227,medium fish,peixe médio,10,50,-,-,Food
228,big fish,peixe grande,15,50,-,-,Food
229,raspberry,framboesa,20,50,-,-,Food
230,lemon,limão,25,50,-,-,Food
231,orange,laranja,30,50,-,-,Food
232,tomato,tomate,5,50,-,-,Food
233,carrot,cenoura,10,50,-,-,Food
234,honey,mel,15,50,-,-,Food
235,mango,manga,20,50,-,-,Food
236,watermelon,melancia,25,50,-,-,Food
237,grapes,uvas,30,50,-,-,Food
238,raw meat,carne crua,5,50,-,-,Food
239,toasted meat,carne tostada,10,50,-,-,Food
240,milk,leite,15,50,-,-,Food
241,insect,inseto,20,50,-,-,Food
242,leech,sanguessuga,25,50,-,-,Food
243,bread,pão,30,50,-,-,Food
244,corn,milho,5,50,-,-,Food
245,potato bread,pão de batata,10,50,-,-,Food
246,humus,húmus,15,50,-,-,Food
247,guarana,guaraná,20,50,-,-,Food
248,acai,açaí,25,50,-,-,Food
249,chestnut,castanha,30,50,-,-,Food
250,bat,morcego,155,50,-,-,Food
251,cave rat,rato,160,50,-,-,Food
252,spider,aranha,165,50,-,-,Food
253,mushroom,cogumelo,170,50,-,-,Food
254,fossil,fóssil,175,50,-,-,Food
255,lime,limo,180,50,-,-,Food
256,toasted fossil,fóssil torrado,185,50,-,-,Food
257,heated lime,limo quente,190,50,-,-,Food
258,coconut,coco,195,50,-,-,Food
259,heart of palm,palmito,200,50,-,-,Food
260,fruit salad,salada de frutas,205,50,-,-,Food
261,crab,carangueijo,210,50,-,-,Food
262,cocktail,coquetel,215,50,-,-,Food
263,soup,sopa,220,30,-,-,Food
264,hot beverage,bebida quente,225,30,-,-,Food
265,coffee,café,230,30,-,-,Food
266,boiling water,água fervente,235,30,-,-,Food
267,noodles,macarrão,240,30,-,-,Food
268,yakisoba,yakisoba,245,30,-,-,Food
269,melted cheese,queijo derretido,250,30,-,-,Food
270,dragon's food,comida de dragão,255,30,-,-,Food
271,hot chocolate,chocolate quente,260,30,-,-,Food
272,pizza,pizza,265,30,-,-,Food
273,ice cream,sorvete,270,30,-,-,Food
274,ice tea,chá gelado,275,30,-,-,Food
275,sweeties,doces,280,30,-,-,Food
276,chocolate milk,leite achocolatado,285,30,-,-,Food
277,eel,enguia,290,30,-,-,Food
278,algae,algas,295,30,-,-,Food
279,oyster,ostra,300,30,-,-,Food
280,wood arrow,flecha de madeira,5,30,-,-,Arrow
281,steel arrow,flecha de aço,15,30,-,-,Arrow
282,mountain arrow,flecha da montanha,30,30,-,-,Arrow
283,lunar arrow,flecha lunar,50,30,-,-,Arrow
284,ocean arrow,flecha do oceano,60,30,-,-,Arrow
285,magma arrow,flecha de magma,80,30,-,-,Arrow
286,water arrow,flecha de água,50,30,-,-,Arrow
287,fire arrow,flecha de fogo,50,30,-,-,Arrow
288,plant arrow,flecha de planta,50,30,-,-,Arrow
289,earth arrow,flecha de terra,50,30,-,-,Arrow
290,air arrow,flecha de ar,50,30,-,-,Arrow
291,thunder arrow,flecha de trovão,50,30,-,-,Arrow
292,light arrow,flecha de luz,50,30,-,-,Arrow
293,dark arrow,flecha de escuridão,50,30,-,-,Arrow
294,snow arrow,flecha de neve,50,30,-,-,Arrow
295,slowing arrow,flecha retardadora,50,30,-,-,Arrow
296,stunning arrow,flecha atordoante,50,30,-,-,Arrow
297,bloody arrow,flecha sangrenta,50,30,-,-,Arrow
298,poison arrow,flecha venenosa,50,30,-,-,Arrow
299,silent arrow,flecha silenciosa,50,30,-,-,Arrow
300,wood sword,espada de madeira,20,10,-,-,Equip
301,wood shield,escudo de madeira,20,10,-,-,Equip
302,wood armor,armadura de madeira,20,10,-,-,Equip
303,copper sword,espada de bronze,290,10,-,-,Equip
304,copper shield,escudo de bronze,290,10,-,-,Equip
305,copper armor,armadura de bronze,290,10,-,-,Equip
306,heavy sword,espada pesada,681,10,-,-,Equip
307,heavy shield,escudo pesada,681,10,-,-,Equip
308,heavy armor,armadura pesada,681,10,-,-,Equip
309,mountain sword,espada da montanha,1164,10,-,-,Equip
310,mountain shield,escudo da montanha,1164,10,-,-,Equip
311,mountain armor,armadura da montanha,1164,10,-,-,Equip
312,knight's sword,espada do cavaleiro,1716,10,-,-,Equip
313,knight's shield,escudo do cavaleiro,1716,10,-,-,Equip
314,knight's armor,armadura do cavaleiro,1716,10,-,-,Equip
315,phenomenal sword,espada fenomenal,2326,10,-,-,Equip
316,phenomenal shield,escudo fenomenal,2326,10,-,-,Equip
317,phenomenal armor,armadura fenomenal,2326,10,-,-,Equip
318,epicenter sword,espada do epicentro,2988,10,-,-,Equip
319,epicenter shield,escudo do epicentro,2988,10,-,-,Equip
320,epicenter armor,armadura do epicentro,2988,10,-,-,Equip
321,dimensional sword,espada dimensional,3695,10,-,-,Equip
322,dimensional shield,escudo dimensional,3695,10,-,-,Equip
323,dimensional armor,armadura dimensional,3695,10,-,-,Equip
324,pirate sword,espada do pirata,4445,10,-,-,Equip
325,pirate shield,escudo do pirata,4445,10,-,-,Equip
326,pirate armor,armadura do pirata,4445,10,-,-,Equip
327,epic sword,espada épica,5233,10,-,-,Equip
328,epic shield,escudo épico,5233,10,-,-,Equip
329,epic armor,armadura épica,5233,10,-,-,Equip
330,arcane sword,espada arcana,6056,10,-,-,Equip
331,arcane shield,escudo arcano,6056,10,-,-,Equip
332,arcane armor,armadura arcana,6056,10,-,-,Equip
333,lunar sword,espada lunar,6913,10,-,-,Equip
334,lunar shield,escudo lunar,6913,10,-,-,Equip
335,lunar armor,armadura lunar,6913,10,-,-,Equip
336,fierce sword,espada feroz,7802,10,-,-,Equip
337,fierce shield,escudo feroz,7802,10,-,-,Equip
338,fierce armor,armadura feroz,7802,10,-,-,Equip
339,curvy sword,espada curva,8722,10,-,-,Equip
340,curvy shield,escudo curvo,8722,10,-,-,Equip
341,curvy armor,armadura curva,8722,10,-,-,Equip
342,kinky sword,espada picante,9670,10,-,-,Equip
343,kinky shield,escudo picante,9670,10,-,-,Equip
344,kinky armor,armadura picante,9670,10,-,-,Equip
345,forest sword,espada da floresta,10645,10,-,-,Equip
346,forest shield,escudo da floresta,10645,10,-,-,Equip
347,forest armor,armadura da floresta,10645,10,-,-,Equip
348,excavation sword,espada da escavação,11647,10,-,-,Equip
349,excavation shield,escudo da escavação,11647,10,-,-,Equip
350,excavation armor,armadura da escavação,11647,10,-,-,Equip
351,secular sword,espada secular,12674,10,-,-,Equip
352,secular shield,escudo secular,12674,10,-,-,Equip
353,secular armor,armadura secular,12674,10,-,-,Equip
354,crystal sword,espada do cristal,13726,10,-,-,Equip
355,crystal shield,escudo do cristal,13726,10,-,-,Equip
356,crystal armor,armadura do cristal,13726,10,-,-,Equip
357,cave sword,espada da caverna,14801,10,-,-,Equip
358,cave shield,escudo da caverna,14801,10,-,-,Equip
359,cave armor,armadura da caverna,14801,10,-,-,Equip
360,tropical sword,espada tropical,15899,10,-,-,Equip
361,tropical shield,escudo tropical,15899,10,-,-,Equip
362,tropical armor,armadura tropical,15899,10,-,-,Equip
363,curly sword,espada ondulada,17020,10,-,-,Equip
364,curly shield,escudo ondulado,17020,10,-,-,Equip
365,curly armor,armadura ondulada,17020,10,-,-,Equip
366,island sword,espada da ilha,18162,10,-,-,Equip
367,island shield,escudo da ilha,18162,10,-,-,Equip
368,island armor,armadura da ilha,18162,10,-,-,Equip
369,ocean sword,espada do oceano,19325,10,-,-,Equip
370,ocean shield,escudo do oceano,19325,10,-,-,Equip
371,ocean armor,armadura do oceano,19325,10,-,-,Equip
372,magma sword,espada do magma,20508,10,-,-,Equip
373,magma shield,escudo do magma,20508,10,-,-,Equip
374,magma armor,armadura do magma,20508,10,-,-,Equip
375,chocolate sword,espada de chocolate,21711,10,-,-,Equip
376,chocolate shield,escudo de chocolate,21711,10,-,-,Equip
377,chocolate armor,armadura de chocolate,21711,10,-,-,Equip
378,fenix sword,espada da fênix,22934,10,-,-,Equip
379,fenix shield,escudo da fênix,22934,10,-,-,Equip
380,fenix armor,armadura da fênix,22934,10,-,-,Equip
381,explosive sword,espada explosiva,24175,10,-,-,Equip
382,explosive shield,escudo explosivo,24175,10,-,-,Equip
383,explosive armor,armadura explosiva,24175,10,-,-,Equip
384,melting sword,espada em derretimento,25436,10,-,-,Equip
385,melting shield,escudo em derretimento,25436,10,-,-,Equip
386,melting armor,armadura em derretimento,25436,10,-,-,Equip
387,volcano sword,espada do vulcão,26714,10,-,-,Equip
388,volcano shield,escudo do vulcão,26714,10,-,-,Equip
389,volcano armor,armadura do vulcão,26714,10,-,-,Equip
390,icy sword,espada gelada,28010,10,-,-,Equip
391,icy shield,escudo gelado,28010,10,-,-,Equip
392,icy armor,armadura gelada,28010,10,-,-,Equip
393,winter sword,espada invernal,29323,10,-,-,Equip
394,winter shield,escudo invernal,29323,10,-,-,Equip
395,winter armor,armadura invernal,29323,10,-,-,Equip
396,snowman sword,espada do homem das neves,30654,10,-,-,Equip
397,snowman shield,escudo do homem das neves,30654,10,-,-,Equip
398,snowman armor,armadura do homem das neves,30654,10,-,-,Equip
399,snowland set,set da terra das neves,106585,10,-,-,Equip
400,toy sword,espada de brinquedo,45,0,-,-,Equip
401,toy shield,escudo de brinquedo,45,0,-,-,Equip
402,toy armor,armadura de brinquedo,45,0,-,-,Equip
403,handicrafted sword,espada artesanal,456,0,-,-,Equip
404,handicrafted shield,escudo artesanal,456,0,-,-,Equip
405,handicrafted armor,armadura artesanal,456,0,-,-,Equip
406,dreamer's sword,espada do sonhador,897,0,-,-,Equip
407,dreamer's shield,escudo do sonhador,897,0,-,-,Equip
408,dreamer's armor,armadura do sonhador,897,0,-,-,Equip
409,light sword,espada leve,1416,0,-,-,Equip
410,light shield,escudo leve,1416,0,-,-,Equip
411,light armor,armadura leve,1416,0,-,-,Equip
412,courage sword,espada da coragem,1998,0,-,-,Equip
413,courage shield,escudo da coragem,1998,0,-,-,Equip
414,courage armor,armadura da coragem,1998,0,-,-,Equip
415,partner's sword,espada do parceiro,2635,0,-,-,Equip
416,partner's shield,escudo do parceiro,2635,0,-,-,Equip
417,partner's armor,armadura do parceiro,2635,0,-,-,Equip
418,sound sword,espada do som,3320,0,-,-,Equip
419,sound shield,escudo do som,3320,0,-,-,Equip
420,sound armor,armadura do som,3320,0,-,-,Equip
421,wild sword,espada selvagem,4049,0,-,-,Equip
422,wild shield,escudo selvagem,4049,0,-,-,Equip
423,wild armor,armadura selvagem,4049,0,-,-,Equip
424,love sword,espada do amor,4818,0,-,-,Equip
425,love shield,escudo do amor,4818,0,-,-,Equip
426,love armor,armadura do amor,4818,0,-,-,Equip
427,ninja sword,espada do ninja,5624,0,-,-,Equip
428,ninja shield,escudo do ninja,5624,0,-,-,Equip
429,ninja armor,armadura do ninja,5624,0,-,-,Equip
430,replenishing sword,espada da restauração,6465,0,-,-,Equip
431,replenishing shield,escudo da restauração,6465,0,-,-,Equip
432,replenishing armor,armadura da restauração,6465,0,-,-,Equip
433,energy sword,espada da energia,7338,0,-,-,Equip
434,energy shield,escudo da energia,7338,0,-,-,Equip
435,energy armor,armadura da energia,7338,0,-,-,Equip
436,spiky sword,espada espinhosa,8242,0,-,-,Equip
437,spiky shield,escudo espinhoso,8242,0,-,-,Equip
438,spiky armor,armadura espinhosa,8242,0,-,-,Equip
439,swampy sword,espada pantanosa,9176,0,-,-,Equip
440,swampy shield,escudo pantanoso,9176,0,-,-,Equip
441,swampy armor,armadura pantanosa,9176,0,-,-,Equip
442,misty sword,espada da névoa,10138,0,-,-,Equip
443,misty shield,escudo da névoa,10138,0,-,-,Equip
444,misty armor,armadura da névoa,10138,0,-,-,Equip
445,glorious sword,espada gloriosa,11127,0,-,-,Equip
446,glorious shield,escudo glorioso,11127,0,-,-,Equip
447,glorious armor,armadura gloriosa,11127,0,-,-,Equip
448,dark sword,espada negra,12141,0,-,-,Equip
449,dark shield,escudo negro,12141,0,-,-,Equip
450,dark armor,armadura negra,12141,0,-,-,Equip
